# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
0,POKEMONTRAINER_Red,Pokemon Trainer,100,,,,Male,200,
1,POKEMONTRAINER_Leaf,Pokemon Trainer,100,,,,Female,200,
2,POKEMONTRAINER_Brendan,Pokemon Trainer,100,,,,Male,250,
3,POKEMONTRAINER_May,Pokemon Trainer,100,,,,Female,200,
4,RIVAL1,Rival,20,Battle rival,,,Male,0,
5,RIVAL2,Rival,64,Battle rival,,,Male,48,
6,RIVAL3,Rival,100,Battle rival,,,Male,200,
7,GANGMEMBER1,Gang Member,35,,Victory_Plasma,Intro_GangMember,Male,32,
8,GANGMEMBER2,Gang Member,35,,Victory_Plasma,Intro_GangMember,Male,32,
9,GANGMEMBER3,Gang Member,35,,Victory_Plasma,Intro_GangMember,Male,32,
10,BUGCATCHER,Bug Catcher,16,,,Intro_Juggler,Male,16,
11,BURGLAR,Burglar,36,,,Intro_GangMember,Male,32,
12,CRAZYLADY,Crazy Lady,32,,,Intro_Psychic,Female,32,
13,BIRDKEEPER,Bird Keeper,32,,,Intro_Breeder,Male,48,
14,REPAIRMAN,Repair Man,30,,,Intro_Veteran,Male,32,
15,FISHERMAN,Fisherman,48,,,Intro_Sailor,Male,48,
16,VETERAN,Veteran,48,,,Intro_Veteran,Male,48,
17,GENTLEMAN,Gentleman,48,,,Intro_Artist,Male,32,
18,HIKER,Hiker,32,,,Intro_Hiker,Male,48,
19,JUGGLER,Juggler,20,,,Intro_Juggler,Male,16,
20,LADY,Lady,48,,,Intro_Girl,Female,32,
21,PAINTER,Painter,16,,,Intro_Artist,Female,16,
22,FURRY,Furry,20,,,Intro_Collector,Male,32,
23,POKEMONBREEDER,Pokemon Breeder,40,,,Intro_Breeder,Female,32,
24,BEAUTY,Beauty,56,,,Intro_Girl2,Female,32,
25,DOYEN_M,Doyen,100,,,Intro_AceTrainer,Male,100,
26,DOYEN_F,Doyen,100,,,Intro_AceTrainer,Female,100,
